path,emotion,emotion_id,actor
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-04-02-01-02-01.wav,sad,3,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-04-02-02-01-01.wav,sad,3,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-04-02-02-02-01.wav,sad,3,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-08-01-01-01-01.wav,surprised,7,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-08-01-01-02-01.wav,surprised,7,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-08-01-02-01-01.wav,surprised,7,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-08-01-02-02-01.wav,surprised,7,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-08-02-01-01-01.wav,surprised,7,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-08-02-01-02-01.wav,surprised,7,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-08-02-02-01-01.wav,surprised,7,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-08-02-02-02-01.wav,surprised,7,1
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-05-01-01-01-02.wav,angry,4,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-05-01-01-02-02.wav,angry,4,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-05-01-02-01-02.wav,angry,4,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-05-01-02-02-02.wav,angry,4,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-05-02-01-01-02.wav,angry,4,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-05-02-01-02-02.wav,angry,4,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-05-02-02-01-02.wav,angry,4,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-05-02-02-02-02.wav,angry,4,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-02-01-01-01-02.wav,calm,1,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-02-01-01-02-02.wav,calm,1,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-02-01-02-01-02.wav,calm,1,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-02-01-02-02-02.wav,calm,1,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-02-02-01-01-02.wav,calm,1,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-02-02-01-02-02.wav,calm,1,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-02-02-02-01-02.wav,calm,1,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-02-02-02-02-02.wav,calm,1,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-07-01-01-01-02.wav,disgust,6,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-07-01-01-02-02.wav,disgust,6,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-07-01-02-01-02.wav,disgust,6,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-07-01-02-02-02.wav,disgust,6,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-07-02-01-01-02.wav,disgust,6,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-07-02-01-02-02.wav,disgust,6,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-07-02-02-01-02.wav,disgust,6,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-07-02-02-02-02.wav,disgust,6,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-06-01-01-01-02.wav,fearful,5,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-06-01-01-02-02.wav,fearful,5,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-06-01-02-01-02.wav,fearful,5,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-06-01-02-02-02.wav,fearful,5,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-06-02-01-01-02.wav,fearful,5,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-06-02-01-02-02.wav,fearful,5,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-06-02-02-01-02.wav,fearful,5,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-06-02-02-02-02.wav,fearful,5,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-03-01-01-01-02.wav,happy,2,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-03-01-01-02-02.wav,happy,2,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-03-01-02-01-02.wav,happy,2,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-03-01-02-02-02.wav,happy,2,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-03-02-01-01-02.wav,happy,2,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-03-02-01-02-02.wav,happy,2,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-03-02-02-01-02.wav,happy,2,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-03-02-02-02-02.wav,happy,2,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-01-01-01-01-02.wav,neutral,0,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-01-01-01-02-02.wav,neutral,0,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-01-01-02-01-02.wav,neutral,0,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-01-01-02-02-02.wav,neutral,0,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-04-01-01-01-02.wav,sad,3,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-04-01-01-02-02.wav,sad,3,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-04-01-02-01-02.wav,sad,3,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-04-01-02-02-02.wav,sad,3,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-04-02-01-01-02.wav,sad,3,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-04-02-01-02-02.wav,sad,3,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-04-02-02-01-02.wav,sad,3,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-04-02-02-02-02.wav,sad,3,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-08-01-01-01-02.wav,surprised,7,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-08-01-01-02-02.wav,surprised,7,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-08-01-02-01-02.wav,surprised,7,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-08-01-02-02-02.wav,surprised,7,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-08-02-01-01-02.wav,surprised,7,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-08-02-01-02-02.wav,surprised,7,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-08-02-02-01-02.wav,surprised,7,2
Audio_Speech_Actors_01-24_16k\Actor_02\03-01-08-02-02-02-02.wav,surprised,7,2
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-05-01-01-01-03.wav,angry,4,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-05-01-01-02-03.wav,angry,4,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-05-01-02-01-03.wav,angry,4,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-05-01-02-02-03.wav,angry,4,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-05-02-01-01-03.wav,angry,4,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-05-02-01-02-03.wav,angry,4,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-05-02-02-01-03.wav,angry,4,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-05-02-02-02-03.wav,angry,4,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-02-01-01-01-03.wav,calm,1,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-02-01-01-02-03.wav,calm,1,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-02-01-02-01-03.wav,calm,1,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-02-01-02-02-03.wav,calm,1,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-02-02-01-01-03.wav,calm,1,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-02-02-01-02-03.wav,calm,1,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-02-02-02-01-03.wav,calm,1,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-02-02-02-02-03.wav,calm,1,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-07-01-01-01-03.wav,disgust,6,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-07-01-01-02-03.wav,disgust,6,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-07-01-02-01-03.wav,disgust,6,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-07-01-02-02-03.wav,disgust,6,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-07-02-01-01-03.wav,disgust,6,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-07-02-01-02-03.wav,disgust,6,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-07-02-02-01-03.wav,disgust,6,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-07-02-02-02-03.wav,disgust,6,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-06-01-01-01-03.wav,fearful,5,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-06-01-01-02-03.wav,fearful,5,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-06-01-02-01-03.wav,fearful,5,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-06-01-02-02-03.wav,fearful,5,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-06-02-01-01-03.wav,fearful,5,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-06-02-01-02-03.wav,fearful,5,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-06-02-02-01-03.wav,fearful,5,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-06-02-02-02-03.wav,fearful,5,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-03-01-01-01-03.wav,happy,2,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-03-01-01-02-03.wav,happy,2,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-03-01-02-01-03.wav,happy,2,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-03-01-02-02-03.wav,happy,2,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-03-02-01-01-03.wav,happy,2,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-03-02-01-02-03.wav,happy,2,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-03-02-02-01-03.wav,happy,2,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-03-02-02-02-03.wav,happy,2,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-01-01-01-01-03.wav,neutral,0,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-01-01-01-02-03.wav,neutral,0,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-01-01-02-01-03.wav,neutral,0,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-01-01-02-02-03.wav,neutral,0,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-04-01-01-01-03.wav,sad,3,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-04-01-01-02-03.wav,sad,3,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-04-01-02-01-03.wav,sad,3,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-04-01-02-02-03.wav,sad,3,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-04-02-01-01-03.wav,sad,3,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-04-02-01-02-03.wav,sad,3,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-04-02-02-01-03.wav,sad,3,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-04-02-02-02-03.wav,sad,3,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-08-01-01-01-03.wav,surprised,7,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-08-01-01-02-03.wav,surprised,7,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-08-01-02-01-03.wav,surprised,7,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-08-01-02-02-03.wav,surprised,7,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-08-02-01-01-03.wav,surprised,7,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-08-02-01-02-03.wav,surprised,7,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-08-02-02-01-03.wav,surprised,7,3
Audio_Speech_Actors_01-24_16k\Actor_03\03-01-08-02-02-02-03.wav,surprised,7,3
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-05-01-01-01-04.wav,angry,4,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-05-01-01-02-04.wav,angry,4,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-05-01-02-01-04.wav,angry,4,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-05-01-02-02-04.wav,angry,4,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-05-02-01-01-04.wav,angry,4,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-05-02-01-02-04.wav,angry,4,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-05-02-02-01-04.wav,angry,4,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-05-02-02-02-04.wav,angry,4,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-02-01-01-01-04.wav,calm,1,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-02-01-01-02-04.wav,calm,1,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-02-01-02-01-04.wav,calm,1,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-02-01-02-02-04.wav,calm,1,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-02-02-01-01-04.wav,calm,1,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-02-02-01-02-04.wav,calm,1,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-02-02-02-01-04.wav,calm,1,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-02-02-02-02-04.wav,calm,1,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-07-01-01-01-04.wav,disgust,6,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-07-01-01-02-04.wav,disgust,6,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-07-01-02-01-04.wav,disgust,6,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-07-01-02-02-04.wav,disgust,6,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-07-02-01-01-04.wav,disgust,6,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-07-02-01-02-04.wav,disgust,6,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-07-02-02-01-04.wav,disgust,6,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-07-02-02-02-04.wav,disgust,6,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-06-01-01-01-04.wav,fearful,5,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-06-01-01-02-04.wav,fearful,5,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-06-01-02-01-04.wav,fearful,5,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-06-01-02-02-04.wav,fearful,5,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-06-02-01-01-04.wav,fearful,5,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-06-02-01-02-04.wav,fearful,5,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-06-02-02-01-04.wav,fearful,5,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-06-02-02-02-04.wav,fearful,5,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-03-01-01-01-04.wav,happy,2,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-03-01-01-02-04.wav,happy,2,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-03-01-02-01-04.wav,happy,2,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-03-01-02-02-04.wav,happy,2,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-03-02-01-01-04.wav,happy,2,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-03-02-01-02-04.wav,happy,2,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-03-02-02-01-04.wav,happy,2,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-03-02-02-02-04.wav,happy,2,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-01-01-01-01-04.wav,neutral,0,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-01-01-01-02-04.wav,neutral,0,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-01-01-02-01-04.wav,neutral,0,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-01-01-02-02-04.wav,neutral,0,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-04-01-01-01-04.wav,sad,3,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-04-01-01-02-04.wav,sad,3,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-04-01-02-01-04.wav,sad,3,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-04-01-02-02-04.wav,sad,3,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-04-02-01-01-04.wav,sad,3,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-04-02-01-02-04.wav,sad,3,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-04-02-02-01-04.wav,sad,3,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-04-02-02-02-04.wav,sad,3,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-08-01-01-01-04.wav,surprised,7,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-08-01-01-02-04.wav,surprised,7,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-08-01-02-01-04.wav,surprised,7,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-08-01-02-02-04.wav,surprised,7,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-08-02-01-01-04.wav,surprised,7,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-08-02-01-02-04.wav,surprised,7,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-08-02-02-01-04.wav,surprised,7,4
Audio_Speech_Actors_01-24_16k\Actor_04\03-01-08-02-02-02-04.wav,surprised,7,4
Audio_Speech_Actors_01-24_16k\Actor_05\03-01-05-01-01-01-05.wav,angry,4,5
Audio_Speech_Actors_01-24_16k\Actor_05\03-01-05-01-01-02-05.wav,angry,4,5
Audio_Speech_Actors_01-24_16k\Actor_05\03-01-05-01-02-01-05.wav,angry,4,5
Audio_Speech_Actors_01-24_16k\Actor_05\03-01-05-01-02-02-05.wav,angry,4,5
Audio_Speech_Actors_01-24_16k\Actor_05\03-01-05-02-01-01-05.wav,angry,4,5
Audio_Speech_Actors_01-24_16k\Actor_05\03-01-05-02-01-02-05.wav,angry,4,5
Audio_Speech_Actors_01-24_16k\Actor_05\03-01-05-02-02-01-05.wav,angry,4,5
Audio_Speech_Actors_01-24_16k\Actor_05\03-01-05-02-02-02-05.wav,angry,4,5
Audio_Speech_Actors_01-24_16k\Actor_05\03-01-02-01-01-01-05.wav,calm,1,5
Audio_Speech_Actors_01-24_16k\Actor_05\03-01-02-01-01-02-05.wav,calm,1,5
Audio_Speech_Actors_01-24_16k\Actor_05\03-01-02-01-02-01-05.wav,calm,1,5
Audio_Speech_Actors_01-24_16k\Actor_05\03-01-02-01-02-02-05.wav,calm,1,5
Audio_Speech_Actors_01-24_16k\Actor_05\03-01-02-02-01-01-05.wav,calm,1,5
Audio_Speech_Actors_01-24_16k\Actor_05\03-01-02-02-01-02-05.wav,calm,1,5
Audio_Speech_Actors_01-24_16k\Actor_05\03-01-02-02-02-01-05.wav,calm,1,5
Audio_Speech_Actors_01-24_16k\Actor_05\03-01-02-02-02-02-05.wav,calm,1,5
Audio_Speech_Actors_01-24_16k\Actor_05\03-01-07-01-01-01-05.wav,disgust,6,5
Audio_Speech_Actors_01-24_16k\Actor_05\03-01-07-01-01-02-05.wav,disgust,6,5
Audio_Speech_Actors_01-24_16k\Actor_05\03-01-07-01-02-01-05.wav,disgust,6,5
Audio_Speech_Actors_01-24_16k\Actor_05\03-01-07-01-02-02-05.wav,disgust,6,5
Audio_Speech_Actors_01-24_16k\Actor_05\03-01-07-02-01-01-05.wav,disgust,6,5
Audio_Speech_Actors_01-24_16k\Actor_05\03-01-07-02-01-02-05.wav,disgust,6,5
Audio_Speech_Actors_01-24_16k\Actor_05\03-01-07-02-02-01-05.wav,disgust,6,5
Audio_Speech_Actors_01-24_16k\Actor_05\03-01-07-02-02-02-05.wav,disgust,6,5
Audio_Speech_Actors_01-24_16k\Actor_05\03-01-06-01-01-01-05.wav,fearful,5,5
Audio_Speech_Actors_01-24_16k\Actor_05\03-01-06-01-01-02-05.wav,fearful,5,5
Audio_Speech_Actors_01-24_16k\Actor_05\03-01-06-01-02-01-05.wav,fearful,5,5
Audio_Speech_Actors_01-24_16k\Actor_05\03-01-06-01-02-02-05.wav,fearful,5,5
Audio_Speech_Actors_01-24_16k\Actor_05\03-01-06-02-01-01-05.wav,fearful,5,5
Audio_Speech_Actors_01-24_16k\Actor_05\03-01-06-02-01-02-05.wav,fearful,5,5
Audio_Speech_Actors_01-24_16k\Actor_05\03-01-06-02-02-01-05.wav,fearful,5,5
Audio_Speech_Actors_01-24_16k\Actor_05\03-01-06-02-02-02-05.wav,fearful,5,5
Audio_Speech_Actors_01-24_16k\Actor_05\03-01-03-01-01-01-05.wav,happy,2,5
Audio_Speech_Actors_01-24_16k\Actor_05\03-01-03-01-01-02-05.wav,happy,2,5
Audio_Speech_Actors_01-24_16k\Actor_05\03-01-03-01-02-01-05.wav,happy,2,5
Audio_Speech_Actors_01-24_16k\Actor_05\03-01-03-01-02-02-05.wav,happy,2,5
Audio_Speech_Actors_01-24_16k\Actor_05\03-01-03-02-01-01-05.wav,happy,2,5
Audio_Speech_Actors_01-24_16k\Actor_05\03-01-03-02-01-02-05.wav,happy,2,5
Audio_Speech_Actors_01-24_16k\Actor_05\03-01-03-02-02-01-05.wav,happy,2,5
Audio_Speech_Actors_01-24_16k\Actor_05\03-01-03-02-02-02-05.wav,happy,2,5
Audio_Speech_Actors_01-24_16k\Actor_05\03-01-01-01-01-01-05.wav,neutral,0,5
Audio_Speech_Actors_01-24_16k\Actor_05\03-01-01-01-01-02-05.wav,neutral,0,5
