age,annual_income,employment_years,loan_amount,total_debt,credit_history_years,previous_defaults,employment_type,loan_purpose,payment_history,creditworthy
60,148330.0,7.0,24207.0,61315,24,3,Salaried,Personal,Excellent,1
24,89315.0,6.0,17114.0,21954,6,0,,Personal,Excellent,1
22,95834.0,4.0,36285.0,32555,4,0,Salaried,Vehicle,Average,0
26,144205.0,8.0,18018.0,64353,8,0,Business,Home,Good,1
62,32153.0,22.0,23386.0,83190,19,0,Salaried,Home,Good,0
24,94325.0,6.0,19740.0,46026,6,1,Business,Vehicle,Excellent,0
49,73318.0,0.0,54781.0,47976,21,0,Self-employed,Home,Average,1
38,149886.0,12.0,54780.0,81578,3,0,Salaried,Business,Excellent,1
46,133033.0,18.0,46199.0,46095,12,0,Contract,Vehicle,Average,1
64,94077.0,23.0,10210.0,15270,12,0,Self-employed,Personal,Excellent,1
54,108474.0,2.0,46363.0,31908,9,0,Salaried,Business,Excellent,1
30,91319.0,12.0,47639.0,16523,12,0,Salaried,Home,Good,1
56,143885.0,16.0,14743.0,63433,16,1,Business,Education,Good,1
34,127777.0,4.0,57284.0,48068,16,2,Salaried,Personal,Good,1
51,35368.0,19.0,44092.0,20991,19,0,Salaried,Education,Good,1
35,109751.0,17.0,46299.0,11775,12,2,Salaried,Business,Poor,0
28,45306.0,7.0,8588.0,78801,10,0,Salaried,Home,Good,0
34,55219.0,16.0,5311.0,85995,16,0,Business,Personal,Excellent,1
43,78279.0,25.0,24432.0,62250,3,0,Salaried,Personal,Good,1
60,71028.0,13.0,57398.0,17673,0,0,Salaried,Personal,Average,0
41,122263.0,3.0,35755.0,28056,0,0,Salaried,Education,Good,0
36,18126.0,10.0,5321.0,7614,14,0,Salaried,Education,Excellent,1
65,70329.0,19.0,17812.0,8415,12,0,,Vehicle,Average,1
38,45632.0,14.0,39383.0,89691,16,0,Salaried,Home,Good,0
44,127945.0,18.0,50280.0,44884,23,0,Contract,Vehicle,Good,1
46,73176.0,6.0,15146.0,17964,25,1,Salaried,Personal,Excellent,1
45,52560.0,18.0,59517.0,38726,7,0,Salaried,Vehicle,Excellent,1
65,94589.0,27.0,15654.0,38044,17,0,Business,Vehicle,Good,1
61,40116.0,18.0,54893.0,58149,12,0,Salaried,Home,Excellent,0
49,142085.0,10.0,37820.0,38544,22,0,Business,Personal,Good,1
35,,17.0,57726.0,50976,13,1,Contract,Vehicle,Good,1
65,37256.0,4.0,2726.0,33252,7,0,Salaried,Personal,Good,0
21,118158.0,3.0,5760.0,4832,3,0,Salaried,Business,Poor,1
45,137719.0,27.0,24190.0,81437,25,1,Business,Personal,Average,1
27,86244.0,9.0,3875.0,35148,9,0,Salaried,Home,Average,1
29,74264.0,7.0,25377.0,62240,11,0,Salaried,Personal,Excellent,0
44,75545.0,9.0,48737.0,89454,6,0,Salaried,Business,Excellent,0
21,57224.0,3.0,6033.0,86076,3,2,Salaried,Education,Good,0
64,115945.0,14.0,40211.0,78116,16,0,Business,Vehicle,Excellent,1
28,31224.0,10.0,19373.0,54459,10,0,Salaried,Business,Poor,0
44,58738.0,26.0,5744.0,39402,15,0,Salaried,Education,Excellent,1
31,81731.0,13.0,26995.0,58727,13,0,Self-employed,Home,Good,1
37,26070.0,19.0,18977.0,39578,1,0,Salaried,Vehicle,Good,0
28,144161.0,7.0,34402.0,23318,10,0,Salaried,Education,Good,1
55,26666.0,7.0,36542.0,76715,17,0,Business,Vehicle,Excellent,0
55,75761.0,24.0,12651.0,78787,16,2,Salaried,Personal,Good,1
53,54368.0,8.0,35703.0,86029,6,1,Business,Personal,Good,0
25,59914.0,1.0,15395.0,21466,7,0,Business,Vehicle,Average,0
62,145738.0,14.0,31808.0,46475,17,1,Salaried,Personal,Excellent,1
59,85526.0,17.0,38576.0,61142,13,0,Self-employed,Personal,Poor,0
61,37956.0,2.0,18715.0,86160,17,0,Salaried,Education,Average,0
48,64240.0,16.0,46409.0,27564,12,0,Salaried,Education,Good,1
27,139008.0,3.0,26306.0,23412,9,1,Business,Personal,Average,1
29,112270.0,11.0,21086.0,52001,11,1,Business,Vehicle,Excellent,1
28,22757.0,3.0,16376.0,58649,10,0,Salaried,Education,Poor,0
32,37097.0,13.0,7889.0,61957,14,2,Self-employed,Personal,Good,0
54,121892.0,8.0,39822.0,36517,22,0,Contract,Personal,Good,1
53,88480.0,8.0,38636.0,14156,16,1,Contract,Education,Good,1
43,64163.0,24.0,22584.0,24064,7,2,Self-employed,Education,Excellent,0
44,37816.0,25.0,51353.0,26711,18,0,Salaried,Business,Poor,0
57,70853.0,22.0,53649.0,31106,19,1,Salaried,Vehicle,Excellent,1
55,114731.0,29.0,36610.0,66458,14,0,Contract,Personal,Average,1
64,80823.0,30.0,12058.0,17589,8,0,Salaried,Personal,Good,1
60,19759.0,,11101.0,87511,19,0,Self-employed,Home,Poor,0
42,110374.0,9.0,14497.0,8214,9,0,Salaried,Personal,Excellent,1
47,42442.0,20.0,6658.0,86731,11,2,Salaried,Personal,Good,0
55,111501.0,,13381.0,28127,20,0,Salaried,Personal,Good,1
21,20079.0,3.0,42312.0,6141,3,0,Contract,Education,Average,0
55,77676.0,26.0,42486.0,29884,19,1,Salaried,Home,Excellent,1
57,108397.0,7.0,48619.0,3708,0,2,Self-employed,Home,Excellent,0
34,90847.0,1.0,19154.0,19375,16,0,Salaried,Business,Excellent,1
23,111607.0,5.0,21539.0,16088,5,3,Salaried,Personal,Average,0
21,82077.0,3.0,13777.0,58615,3,0,Salaried,Personal,Excellent,0
25,56258.0,7.0,36396.0,46046,7,1,Self-employed,Home,Good,0
46,137771.0,28.0,32373.0,11014,14,0,Salaried,Home,Excellent,1
34,56000.0,15.0,35154.0,65425,0,0,Salaried,Vehicle,Average,0
59,44737.0,27.0,,4273,11,0,Salaried,Personal,Poor,1
47,29485.0,1.0,29997.0,48135,2,0,Salaried,Personal,Good,0
29,,10.0,8439.0,31881,10,0,Contract,Education,Good,1
35,137614.0,9.0,24785.0,79077,1,0,Contract,Vehicle,Excellent,0
35,83155.0,14.0,15392.0,9712,15,0,Salaried,Home,Excellent,1
46,,16.0,55160.0,75704,8,2,Self-employed,Home,Good,0
62,147948.0,7.0,30669.0,53874,14,0,Contract,Personal,Average,1
33,30342.0,15.0,30939.0,70087,11,0,Salaried,Education,Good,0
52,58806.0,22.0,53618.0,13297,0,0,Business,Education,Poor,0
59,66770.0,8.0,4282.0,28128,12,0,Contract,Personal,Good,1
52,96623.0,24.0,36624.0,69368,13,1,Salaried,Personal,Average,0
24,121177.0,6.0,50438.0,88599,6,1,Salaried,Vehicle,Good,0
50,149026.0,26.0,26364.0,89499,24,0,Contract,Personal,Good,1
57,93629.0,13.0,3998.0,79958,7,0,Self-employed,Home,Good,1
43,138993.0,25.0,33705.0,33920,7,1,Salaried,Education,Good,1
59,144944.0,25.0,40244.0,12156,11,0,Salaried,Business,Good,1
65,123947.0,24.0,11428.0,12108,0,1,Salaried,Personal,Average,1
35,44399.0,,39437.0,32845,10,0,Self-employed,Vehicle,Poor,0
63,146177.0,21.0,14336.0,3800,7,1,Business,Home,Good,1
49,127575.0,19.0,11342.0,43712,9,0,Contract,Personal,Excellent,1
56,128904.0,29.0,55470.0,3610,18,0,Salaried,Home,Good,1
33,48678.0,15.0,41832.0,78603,10,2,Self-employed,Personal,Good,0
52,94218.0,20.0,9446.0,34872,6,0,Self-employed,Business,Excellent,1
27,81230.0,9.0,52583.0,11728,9,0,Salaried,Business,Average,1
42,92055.0,18.0,40392.0,21583,16,0,Salaried,Personal,Poor,1
48,90258.0,13.0,9461.0,86774,0,0,Contract,Personal,Poor,0
22,57986.0,4.0,36587.0,8263,4,0,Business,Business,Excellent,1
62,103595.0,23.0,12516.0,68450,20,0,Salaried,Personal,Average,1
65,119358.0,20.0,15749.0,20456,20,0,Self-employed,Home,Average,1
26,82929.0,2.0,,66942,7,0,Salaried,Personal,Good,0
48,91506.0,25.0,57715.0,14689,22,1,Self-employed,Education,Good,1
48,52911.0,29.0,37426.0,33934,23,0,Self-employed,Personal,Average,1
64,105127.0,22.0,38268.0,34276,5,0,Self-employed,Personal,Good,1
64,131453.0,6.0,26950.0,20873,21,0,Contract,Personal,Good,1
40,102458.0,16.0,36888.0,14050,17,0,Self-employed,Education,Good,1
50,30175.0,11.0,38788.0,67216,5,0,Salaried,Home,Good,0
31,137235.0,8.0,12213.0,85444,4,0,Business,Personal,Excellent,1
48,72771.0,14.0,38027.0,85040,12,0,Salaried,Vehicle,Poor,0
45,145157.0,17.0,30011.0,22644,18,0,Salaried,Personal,Average,1
59,139300.0,20.0,44849.0,63021,21,0,Salaried,Education,Good,1
53,104925.0,12.0,36591.0,38125,7,0,Salaried,Business,Excellent,1
21,84358.0,3.0,19858.0,67899,3,0,Business,Business,Good,1
47,,20.0,20626.0,43291,16,0,Salaried,Home,Excellent,1
33,24150.0,15.0,15467.0,36060,2,0,Business,Home,Excellent,0
61,22425.0,7.0,54395.0,2538,18,0,Self-employed,Vehicle,Good,0
23,34032.0,5.0,41758.0,37176,5,1,Salaried,Vehicle,Good,0
59,20198.0,7.0,56312.0,42520,23,0,Business,Business,Good,0
26,136865.0,8.0,,26675,8,0,Salaried,Business,Excellent,1
28,41236.0,6.0,53222.0,19287,10,0,Salaried,Personal,Good,0
47,105955.0,22.0,18743.0,1174,18,0,Self-employed,Personal,Excellent,1
29,121145.0,11.0,17434.0,35998,1,0,Salaried,Home,Poor,0
57,112914.0,10.0,49775.0,54312,7,0,Salaried,Education,Good,1
53,120870.0,21.0,12233.0,13112,18,1,Self-employed,Personal,Average,1
62,134243.0,21.0,51146.0,76225,6,0,Self-employed,Personal,Good,1
64,32596.0,10.0,3141.0,45814,16,2,Salaried,Personal,Excellent,0
44,129496.0,,20019.0,86091,5,0,Contract,Vehicle,Poor,0
35,148273.0,17.0,22384.0,51719,17,0,Self-employed,Education,Good,1
52,138674.0,27.0,44903.0,34919,23,0,Business,Personal,Good,1
52,138307.0,28.0,47734.0,74155,5,0,Salaried,Home,Good,1
44,37063.0,12.0,38129.0,72569,1,0,Self-employed,Personal,Excellent,0
61,85642.0,17.0,24967.0,42328,5,0,Business,Vehicle,,0
32,108093.0,1.0,42603.0,71482,14,0,Self-employed,Vehicle,Good,0
59,53954.0,28.0,13172.0,25618,4,2,Business,Business,Good,0
22,,4.0,18390.0,35675,4,1,Salaried,Education,Excellent,0
23,20573.0,5.0,5267.0,19919,5,0,Salaried,Personal,Excellent,1
57,53367.0,19.0,41332.0,5173,3,0,Salaried,Education,Average,0
37,,19.0,28167.0,27400,19,0,Salaried,Personal,Average,1
22,78774.0,4.0,23312.0,51445,4,0,Business,Vehicle,Excellent,1
22,41752.0,4.0,29840.0,71305,4,0,Salaried,Vehicle,Excellent,0
48,73029.0,14.0,20990.0,38564,10,0,Contract,Business,Average,0
43,148282.0,18.0,46179.0,46814,3,0,Contract,Home,Good,1
57,69693.0,22.0,7906.0,80747,25,0,Salaried,Vehicle,,1
52,134739.0,23.0,50796.0,89791,12,3,Salaried,Home,Good,0
53,73961.0,11.0,54425.0,28962,19,0,Business,Business,Excellent,1
21,,3.0,42379.0,85892,3,2,Contract,Education,Average,0
39,92532.0,21.0,19297.0,86842,16,0,Salaried,Education,Poor,0
22,99994.0,4.0,4011.0,71533,4,0,Salaried,Personal,Excellent,1
64,74133.0,4.0,52594.0,57184,3,0,Self-employed,Business,Good,0
46,79268.0,28.0,56698.0,83912,22,0,Self-employed,Home,Good,1
52,49653.0,0.0,46014.0,11578,13,0,Salaried,Education,Good,0
26,139829.0,8.0,48558.0,19624,8,0,Business,Vehicle,Good,1
52,146377.0,2.0,13738.0,40194,25,0,Salaried,Personal,Average,1
24,19622.0,6.0,30797.0,1389,2,0,Salaried,Home,Good,0
31,66756.0,13.0,49498.0,68391,13,0,Salaried,Personal,Good,0
37,58809.0,18.0,13120.0,14794,7,0,Salaried,Personal,Good,1
58,34725.0,22.0,52981.0,59002,23,0,Salaried,Business,Excellent,0
44,69226.0,26.0,10767.0,36531,0,0,,Vehicle,Excellent,1
25,99182.0,7.0,24852.0,53815,7,0,Salaried,Personal,Average,0
54,47402.0,6.0,15703.0,5986,17,0,Salaried,Business,Excellent,1
26,22263.0,8.0,2929.0,33298,8,2,Salaried,Personal,Average,0
42,65924.0,14.0,13951.0,2481,7,0,Contract,Home,Good,1
31,92182.0,13.0,,57408,0,1,Salaried,Education,Good,0
36,53737.0,4.0,28039.0,70267,11,0,Salaried,Personal,Good,0
53,119332.0,14.0,50613.0,17835,7,0,Self-employed,Home,Good,1
29,107563.0,7.0,31504.0,28798,11,0,Contract,Business,Excellent,1
26,146575.0,8.0,19438.0,65887,8,0,Salaried,Vehicle,Good,1
36,119371.0,18.0,50515.0,20477,17,0,Self-employed,Education,Average,1
49,56709.0,15.0,7744.0,18266,3,1,Business,Personal,Average,0
23,39172.0,5.0,20284.0,87328,5,0,Self-employed,Vehicle,Good,0
40,29555.0,0.0,44417.0,86988,11,0,Salaried,Business,Good,0
56,71276.0,11.0,41748.0,44526,8,0,Self-employed,Business,,0
39,,4.0,9069.0,12889,14,2,Salaried,Personal,Excellent,1
46,107599.0,2.0,44359.0,25335,15,0,Self-employed,Vehicle,Excellent,1
23,29046.0,0.0,21799.0,12254,5,0,Business,Personal,Average,0
39,134021.0,3.0,35210.0,87610,11,0,Salaried,Personal,Excellent,1
40,22853.0,7.0,30226.0,12442,22,1,Business,Home,Excellent,0
52,138900.0,2.0,57370.0,47289,22,3,Salaried,Home,Good,0
27,77129.0,9.0,6652.0,54747,9,0,Business,Personal,Excellent,1
61,132130.0,1.0,26323.0,38327,12,1,Salaried,Education,Good,1
53,139789.0,10.0,58985.0,17199,24,1,Salaried,Home,Excellent,1
60,56890.0,24.0,44138.0,73827,1,0,Salaried,Vehicle,Excellent,0
59,84017.0,9.0,9597.0,1112,2,0,Contract,Home,Good,0
38,118424.0,20.0,49093.0,88051,20,0,Salaried,Personal,Good,1
60,33048.0,13.0,39226.0,20581,23,2,Salaried,Personal,Average,0
21,,3.0,8591.0,60722,3,0,Salaried,Business,Good,0
31,52008.0,13.0,51114.0,17523,9,1,Self-employed,Personal,Good,0
48,149132.0,26.0,27833.0,67960,8,0,Self-employed,Home,Average,1
45,101559.0,1.0,13826.0,20552,25,1,Salaried,Personal,Excellent,1
43,73337.0,8.0,28417.0,11808,19,0,Salaried,Vehicle,Good,1
51,128616.0,15.0,20693.0,73525,7,0,Salaried,Business,Good,1
50,31350.0,12.0,16138.0,24620,9,1,Salaried,Personal,Good,0
62,42354.0,8.0,57420.0,1887,18,1,Salaried,Education,Good,0
55,63186.0,19.0,52062.0,32802,2,1,Business,Business,Average,0
27,46145.0,3.0,55492.0,86024,9,0,Salaried,Home,Poor,0
36,104123.0,18.0,55161.0,82938,4,0,Salaried,Personal,Good,0
46,38581.0,9.0,57780.0,87741,2,0,Salaried,Personal,Good,0
22,106929.0,4.0,4169.0,27049,4,0,Contract,Home,Excellent,1
21,41051.0,3.0,20556.0,78789,3,0,Contract,Education,Good,0
32,69474.0,14.0,24052.0,85526,14,0,Business,Education,Good,1
25,109748.0,7.0,8313.0,8846,7,0,Salaried,Vehicle,Good,1
57,143995.0,16.0,10315.0,47220,2,3,Salaried,Business,Poor,0
52,87626.0,13.0,10036.0,47163,11,0,Salaried,Education,Good,1
29,24960.0,11.0,33778.0,4765,8,0,Salaried,Vehicle,Good,0
61,54408.0,24.0,29734.0,82486,20,0,Self-employed,Home,Good,0
55,112006.0,1.0,25173.0,46270,11,0,Business,Personal,Average,1
39,75134.0,20.0,32403.0,76277,21,0,Business,Home,Average,0
36,108327.0,18.0,2785.0,89278,14,2,Business,Business,Good,0
23,149410.0,5.0,8139.0,23931,1,1,Salaried,Vehicle,Good,1
40,29344.0,10.0,8344.0,56633,22,2,Self-employed,Personal,Average,0
44,85957.0,15.0,20800.0,81702,17,3,Salaried,Vehicle,Excellent,0
53,123423.0,18.0,27372.0,52913,19,0,Salaried,Personal,Average,1
44,76053.0,26.0,22538.0,26991,11,0,Business,Business,Good,1
31,95454.0,13.0,16973.0,55845,13,0,Salaried,Vehicle,Good,1
28,108600.0,5.0,7619.0,56312,3,0,Salaried,Business,Good,0
56,140732.0,23.0,36704.0,11561,22,0,Salaried,Personal,Average,1
58,55641.0,18.0,38575.0,17901,15,0,Self-employed,Home,Excellent,1
60,47711.0,4.0,41919.0,63875,22,0,Business,Personal,Average,0
40,88342.0,22.0,44261.0,26917,15,0,Salaried,Home,Good,1
55,124896.0,3.0,47123.0,63120,0,0,Business,Personal,Good,0
45,105833.0,14.0,29716.0,2988,21,0,Salaried,Personal,Excellent,1
55,74276.0,28.0,5236.0,15256,24,0,Salaried,Personal,Good,1
45,37541.0,3.0,17848.0,88728,1,0,Business,Home,Good,0
49,112457.0,19.0,4352.0,29230,2,0,Self-employed,Home,Good,1
38,62813.0,9.0,3932.0,60778,20,1,Contract,Personal,Average,0
38,42070.0,20.0,12913.0,46833,20,0,Salaried,Business,Good,1
22,98559.0,4.0,10556.0,23625,4,0,Self-employed,Personal,Poor,0
55,59786.0,2.0,23300.0,33088,19,1,Self-employed,Personal,Good,0
36,54062.0,18.0,7498.0,80650,16,0,Contract,Vehicle,Average,0
61,69571.0,4.0,12582.0,42167,19,0,Salaried,Personal,Excellent,1
56,43510.0,5.0,52098.0,72291,21,0,Business,Education,Good,0
53,37426.0,20.0,48633.0,66303,20,0,Self-employed,Personal,Good,0
24,55265.0,6.0,11569.0,77361,0,1,Salaried,Home,Good,0
53,84150.0,7.0,52591.0,89229,19,1,Salaried,Business,Average,0
34,105312.0,6.0,58882.0,5117,5,0,Salaried,Home,Excellent,1
41,107613.0,20.0,6857.0,61710,14,0,Self-employed,Education,Excellent,1
40,92910.0,9.0,2340.0,68054,22,0,Business,Home,Average,1
28,70375.0,5.0,45949.0,31949,10,0,Self-employed,Education,Excellent,1
27,139826.0,9.0,18766.0,23547,9,0,Self-employed,Vehicle,Average,1
23,53435.0,3.0,28132.0,82882,5,0,Self-employed,Home,Good,0
37,114443.0,19.0,10491.0,69136,14,0,Salaried,Home,Average,1
53,41510.0,24.0,2138.0,65619,13,0,Salaried,Personal,Excellent,0
32,112071.0,12.0,2358.0,62842,14,0,Salaried,Home,Excellent,1
42,24640.0,19.0,56083.0,27990,20,0,Salaried,Home,Good,0
42,62547.0,16.0,11714.0,17193,23,0,Salaried,Vehicle,Poor,1
50,72620.0,22.0,21840.0,31109,24,1,Self-employed,Vehicle,Good,1
58,133608.0,6.0,36395.0,20233,25,0,Salaried,Business,Good,1
58,,3.0,32654.0,82730,4,0,Salaried,Vehicle,Good,0
65,131824.0,28.0,27879.0,35510,5,2,Salaried,Vehicle,Poor,0
28,97273.0,10.0,17996.0,2306,10,0,Salaried,Home,Average,1
47,92859.0,2.0,57778.0,4849,10,0,Contract,Vehicle,Poor,0
47,128017.0,23.0,,13360,15,0,Business,Vehicle,Excellent,1
54,141618.0,4.0,28762.0,46800,11,0,Business,Vehicle,Excellent,1
41,143341.0,15.0,15283.0,37963,14,0,Salaried,Personal,Good,1
50,47430.0,25.0,41420.0,55330,22,0,Business,Education,Average,0
53,45788.0,22.0,,52707,3,0,Business,Vehicle,Good,0
48,87346.0,,21554.0,19689,17,1,Business,Vehicle,Excellent,1
53,114122.0,3.0,22219.0,30084,20,0,Salaried,Business,Average,1
25,57974.0,7.0,59169.0,41387,2,0,Self-employed,Home,Excellent,0
39,125309.0,21.0,36919.0,75816,21,1,Business,Education,Good,1
24,34371.0,6.0,11429.0,3642,6,0,Self-employed,Home,Good,1
55,63084.0,1.0,48840.0,43137,22,1,Self-employed,Vehicle,Good,0
37,79916.0,19.0,,80832,2,0,Salaried,Home,Average,0
64,91972.0,17.0,41673.0,56561,7,1,Self-employed,Home,Good,0
48,30984.0,18.0,21218.0,63260,17,0,Salaried,Business,Good,0
50,51039.0,30.0,14452.0,16438,9,1,Self-employed,Home,Good,1
49,103431.0,27.0,50980.0,49442,24,2,Salaried,Vehicle,Good,1
26,101691.0,8.0,20951.0,3994,8,0,Salaried,Education,Good,1
55,76606.0,18.0,3307.0,2813,16,0,Salaried,Vehicle,Good,1
61,120665.0,16.0,16852.0,85381,7,0,Self-employed,Personal,Excellent,1
57,123373.0,30.0,27232.0,56276,22,0,Salaried,Business,Excellent,1
44,42574.0,13.0,37428.0,42243,10,0,Self-employed,Business,Excellent,0
49,50733.0,18.0,45171.0,63912,4,0,Business,Home,Good,0
51,20050.0,21.0,28485.0,61272,25,0,Salaried,Home,Average,0
55,127996.0,23.0,54882.0,43051,12,0,Salaried,Education,Average,1
53,51933.0,12.0,12238.0,79854,20,0,Salaried,Personal,Average,0
41,42951.0,11.0,40975.0,83736,22,0,Business,Business,Good,0
52,50413.0,29.0,54314.0,66618,4,0,Self-employed,Personal,Good,0
43,130573.0,25.0,3140.0,2920,23,0,Salaried,Personal,Good,1
53,140744.0,5.0,26842.0,78219,12,0,Salaried,Home,Excellent,1
23,107431.0,5.0,28421.0,77872,5,0,Self-employed,Vehicle,Excellent,1
38,61001.0,20.0,3708.0,82132,4,0,Business,Business,Good,0
45,85364.0,3.0,5630.0,3093,8,0,Business,Education,Poor,0
62,142988.0,18.0,21595.0,13905,15,0,Self-employed,Personal,Excellent,1
51,63028.0,15.0,12485.0,25351,1,1,Salaried,Home,Excellent,0
23,149878.0,5.0,30308.0,31981,0,0,Salaried,Personal,Average,1
60,142343.0,3.0,46789.0,74903,7,0,Salaried,Personal,Good,1
44,146301.0,26.0,57690.0,71821,18,0,Salaried,Home,Average,1
52,144295.0,22.0,28086.0,83289,10,1,Salaried,Personal,Average,1
42,52636.0,16.0,18859.0,85021,11,2,Salaried,Education,Poor,0
43,42262.0,22.0,9684.0,79513,11,0,Salaried,Personal,Good,0
22,98435.0,0.0,27552.0,20874,4,0,Contract,Personal,,0
47,146583.0,17.0,3207.0,51931,25,1,Self-employed,Home,Good,1
62,59844.0,30.0,48099.0,8674,12,0,Business,Vehicle,Good,1
22,82754.0,4.0,3960.0,51516,4,0,Business,Vehicle,Good,1
46,95129.0,16.0,2557.0,61686,21,0,Salaried,Education,Excellent,1
37,58042.0,19.0,31689.0,70212,19,0,Business,Home,Good,1
60,79665.0,27.0,50651.0,3426,8,2,Salaried,Vehicle,Good,1
53,134953.0,26.0,15893.0,69498,6,3,Self-employed,Business,Average,0
29,136533.0,11.0,34272.0,30943,11,1,Salaried,Education,Average,1
63,91781.0,10.0,2882.0,67395,20,0,Contract,Education,Average,1
59,84262.0,24.0,39529.0,45816,23,1,Salaried,Home,Excellent,1
49,64600.0,27.0,40635.0,5138,14,0,Salaried,Personal,Average,0
62,94898.0,21.0,58115.0,76945,1,0,Contract,Home,Good,0
46,48448.0,12.0,31535.0,5017,22,1,Salaried,Education,Average,1
55,44172.0,0.0,14869.0,11451,19,0,Self-employed,Vehicle,Poor,0
45,25657.0,16.0,9166.0,63956,24,0,Business,Personal,Excellent,0
44,130855.0,5.0,14982.0,11278,11,0,Business,Personal,Average,1
33,25906.0,3.0,42697.0,44764,0,1,Contract,Personal,Excellent,0
27,79413.0,9.0,40115.0,2134,9,0,Contract,Personal,Good,1
56,72028.0,15.0,9269.0,63943,21,0,Salaried,Home,Good,1
65,25287.0,14.0,30064.0,55318,7,0,Business,Home,Excellent,0
40,51660.0,22.0,59277.0,61128,4,1,Self-employed,Business,Average,0
21,78504.0,3.0,15527.0,89056,3,1,Self-employed,Home,Excellent,0
